index,open,close,low,high,LONGS_SIGNAL,SHORTS_SIGNAL,LONGS_SIGNAL_PA,SHORTS_SIGNAL_PA
555.0,21395.23,21410.94,21383.9,21414.87,0.0,0.0,0.0,0.0
556.0,21410.87,21395.54,21390.71,21417.47,0.0,0.0,0.0,0.0
557.0,21395.54,21379.11,21377.69,21417.96,0.0,1.0,0.0,21417.96
558.0,21380.28,21235.13,21120.0,21393.14,1.0,0.0,21120.0,0.0
559.0,21232.84,21203.73,21180.56,21242.63,0.0,0.0,0.0,0.0
560.0,21200.5,21191.15,21184.97,21246.04,0.0,0.0,0.0,0.0
561.0,21188.87,21182.46,21164.13,21213.98,0.0,0.0,0.0,0.0
562.0,21182.36,21185.81,21146.68,21202.35,0.0,0.0,0.0,0.0
563.0,21183.17,21149.91,21125.63,21185.85,0.0,0.0,0.0,0.0
564.0,21150.63,21165.65,21109.01,21181.77,0.0,0.0,0.0,0.0
565.0,21167.55,21164.48,21154.14,21182.74,0.0,0.0,0.0,0.0
566.0,21164.35,21181.13,21142.19,21194.06,0.0,0.0,0.0,0.0
567.0,21179.42,21190.02,21159.63,21193.02,0.0,0.0,0.0,0.0
568.0,21190.43,21193.45,21179.07,21212.23,0.0,0.0,0.0,0.0
569.0,21191.89,21165.74,21156.26,21214.32,1.0,0.0,21156.26,0.0
570.0,21162.01,21178.96,21159.74,21191.0,0.0,0.0,0.0,0.0
571.0,21178.54,21207.39,21165.0,21210.04,0.0,0.0,0.0,0.0
572.0,21206.06,21233.36,21201.18,21236.59,0.0,0.0,0.0,0.0
573.0,21234.9,21235.44,21212.81,21247.31,0.0,0.0,0.0,0.0
574.0,21237.54,21295.2,21205.95,21298.5,0.0,0.0,0.0,0.0
575.0,21293.7,21562.17,21254.69,21684.46,0.0,1.0,0.0,21684.46
576.0,21563.33,21546.42,21473.76,21625.64,0.0,0.0,0.0,0.0
577.0,21545.27,21509.86,21476.17,21552.25,0.0,0.0,0.0,0.0
578.0,21504.11,21570.38,21500.0,21582.83,0.0,0.0,0.0,0.0
579.0,21570.15,21577.45,21523.03,21582.71,0.0,0.0,0.0,0.0
580.0,21576.66,21640.31,21566.41,21686.47,0.0,0.0,0.0,0.0
581.0,21642.53,21811.87,21636.75,21878.05,0.0,1.0,0.0,21878.05
582.0,21815.34,21744.45,21729.4,21834.24,0.0,0.0,0.0,0.0
583.0,21743.66,21808.64,21682.8,21813.69,0.0,0.0,0.0,0.0
584.0,21809.22,21792.13,21759.72,21828.63,0.0,0.0,0.0,0.0
585.0,21792.13,21783.59,21711.6,21805.8,0.0,0.0,0.0,0.0
586.0,21780.82,21779.69,21744.92,21792.22,0.0,0.0,0.0,0.0
587.0,21776.5,21748.27,21705.62,21795.87,0.0,0.0,0.0,0.0
588.0,21748.29,21734.13,21687.02,21757.86,0.0,0.0,0.0,0.0
589.0,21734.09,21730.14,21712.16,21758.54,0.0,0.0,0.0,0.0
590.0,21727.86,21698.81,21694.8,21740.85,0.0,0.0,0.0,0.0
