z-sma-7,z-std-7,z-sma-14,z-std-14,z-sma-28,z-std-28,z-sma-54,z-std-54,z-sma-106,z-std-106,z-sma-207,z-std-207,LONGS_SIGNAL,SHORTS_SIGNAL,index,open,close,low,high
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,485.0,42344.07,42486.99,42322.5,42507.3
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,486.0,42486.99,42574.07,42453.94,42617.7
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,487.0,42574.07,42750.99,42570.81,42775.75
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,488.0,42750.99,42833.58,42750.98,43000.0
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,489.0,42831.33,42690.01,42682.6,42906.67
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,490.0,42690.0,42725.04,42684.08,42841.93
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,491.0,42725.05,42723.86,42696.02,42799.88
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,492.0,42730.59,42934.39,42730.59,43027.26
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,493.0,42934.39,42972.0,42872.08,42976.61
True,True,True,True,True,True,True,True,True,True,True,True,0.0,1.0,494.0,42970.6,43017.03,42963.0,43127.87
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,495.0,43019.97,42910.07,42888.81,43091.19
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,496.0,42910.07,42590.37,42371.18,42934.36
True,True,True,True,True,True,True,True,True,True,True,True,1.0,0.0,497.0,42594.11,42407.13,42333.33,42611.03
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,498.0,42407.13,42483.38,42365.02,42555.36
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,499.0,42480.75,42460.82,42388.64,42530.32
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,500.0,42464.33,42584.31,42459.81,42647.09
